Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 10 Aug 1985, VECC, 42809, 850810/0000, 22.64, 88.44, 6.0, 1.57, -3.63, -4.27, 209.78, 27.50, 18.50, 22.10, 40.60, 1580.31, 1841.48, -2.11, -0.27, 147.27, 146.98, 918.86, 934.53, 1114.36, 1298.52, 297.12, 952.78, 301.29, 20.25, 5824.00, 55.83
 12Z 10 Aug 1985, VECC, 42809, 850810/1200, 22.64, 88.44, 6.0, -0.50, -4.47, -5.62, 221.99, 28.70, 20.50, 22.70, 43.20, 874.43, 1192.89, 0.00, 0.00, 881.23, 881.23, 680.32, 928.09, 294.75, 881.23, 305.61, 18.89, 5823.00, 47.51
 00Z 11 Aug 1985, VECC, 42809, 850811/0000, 22.64, 88.44, 6.0, -3.67, -7.25, -8.05, 240.20, 43.00, 22.90, 25.30, 48.20, 4032.08, 4285.01, -8.33, -4.83, 889.88, 906.27, 2039.20, 2167.12, 298.65, 950.83, 303.00, 22.21, 5824.00, 70.52
 12Z 11 Aug 1985, VECC, 42809, 850811/1200, 22.64, 88.44, 6.0, -1.96, -5.52, -6.82, 249.38, 34.30, 21.10, 23.10, 44.20, 884.93, 1176.77, -14.35, -6.54, 872.61, 884.19, 136.37, 181.34, 297.14, 896.42, 306.60, 21.53, 5850.00, 58.31
 00Z 12 Aug 1985, VECC, 42809, 850812/0000, 22.64, 88.44, 6.0, -2.03, -3.61, -4.30, 222.60, 36.90, 21.50, 25.10, 46.60, 1640.49, 1814.28, -72.19, -46.77, 142.95, 142.84, 768.69, 796.87, 245.03, 270.99, 294.63, 913.96, 302.33, 18.31, 5813.00, 55.42
 12Z 12 Aug 1985, VECC, 42809, 850812/1200, 22.64, 88.44, 6.0, -1.95, -6.08, -7.13, 259.01, 37.50, 21.10, 24.30, 45.40, 4046.70, 4385.60, -4.97, -0.09, 868.04, 887.01, 246.45, 267.09, 296.44, 889.48, 306.55, 20.77, 5825.00, 58.63
 00Z 13 Aug 1985, VECC, 42809, 850813/0000, 22.64, 88.44, 6.0, -3.59, -7.64, -8.46, 250.60, 40.60, 23.30, 24.30, 47.60, 5098.53, 5380.04, -2.47, -1.04, 106.82, 106.69, 917.74, 927.01, 462.64, 488.18, 298.63, 946.80, 303.36, 22.31, 5793.00, 67.90
 12Z 13 Aug 1985, VECC, 42809, 850813/1200, 22.64, 88.44, 6.0, -3.74, -6.12, -7.31, 275.80, 38.80, 22.40, 24.90, 47.30, 4002.34, 4349.45, -25.48, -16.89, 840.58, 866.29, 298.54, 935.04, 304.35, 22.45, 5855.00, 63.37
 00Z 14 Aug 1985, VECC, 42809, 850814/0000, 22.64, 88.44, 6.0, 0.09, -0.83, -1.41, 292.59, 36.60, 18.80, 20.80, 39.60, 421.64, 566.75, -95.06, -38.65, 183.72, 183.66, 525.62, 826.39, 16.91, 22.72, 297.62, 942.96, 302.69, 21.02, 5898.00, 72.27
 12Z 14 Aug 1985, VECC, 42809, 850814/1200, 22.64, 88.44, 6.0, -4.41, -4.18, -5.22, 311.41, 38.50, 21.90, 26.30, 48.20, 2614.23, 2882.54, -202.01, -156.61, 123.87, 122.18, 679.75, 727.23, 251.82, 277.67, 296.84, 891.07, 306.82, 21.25, 5907.00, 67.17
 00Z 15 Aug 1985, VECC, 42809, 850815/0000, 22.64, 88.44, 6.0, 2.55, -1.72, -2.67, 232.99, 28.50, 17.50, 21.50, 39.00, 1681.52, 1910.02, -14.10, -5.50, 132.49, 131.59, 875.38, 899.24, 159.71, 181.41, 295.34, 927.36, 301.79, 18.67, 5833.00, 48.47
 12Z 15 Aug 1985, VECC, 42809, 850815/1200, 22.64, 88.44, 6.0, -0.14, -4.28, -5.36, 255.20, 37.20, 19.20, 22.50, 41.70, 4665.72, 4977.88, -16.91, -7.99, 100.97, 100.95, 869.69, 892.59, 1542.36, 1645.55, 297.64, 918.31, 305.01, 21.69, 5834.00, 63.41
 00Z 16 Aug 1985, VECC, 42809, 850816/0000, 22.64, 88.44, 6.0, -1.86, -5.56, -6.58, 242.60, 35.40, 21.60, 24.10, 45.70, 3143.60, 3408.03, -4.17, -1.44, 119.06, 118.08, 900.12, 917.75, 999.91, 1084.02, 297.52, 950.58, 301.89, 20.76, 5827.00, 60.13
 12Z 16 Aug 1985, VECC, 42809, 850816/1200, 22.64, 88.44, 6.0, -1.15, -5.10, -6.09, 239.00, 38.50, 20.30, 23.50, 43.80, 4213.69, 4503.61, -10.39, -4.13, 101.31, 101.33, 882.09, 901.26, 8250.32, 8817.99, 297.13, 911.35, 305.14, 21.16, 5856.00, 64.77
 00Z 17 Aug 1985, VECC, 42809, 850817/0000, 22.64, 88.44, 6.0, -2.73, -6.03, -7.12, 252.18, 37.90, 22.70, 23.30, 46.00, 3208.63, 3470.83, 0.00, 0.00, 115.28, 114.87, 953.16, 955.76, 1103.30, 1193.46, 298.46, 964.82, 301.56, 21.65, 5812.00, 65.39
 12Z 17 Aug 1985, VECC, 42809, 850817/1200, 22.64, 88.44, 6.0, 2.09, -3.91, -5.01, 198.01, 24.50, 16.50, 24.50, 41.00, 3311.00, 3652.15, -57.77, -24.45, 113.46, 113.47, 815.33, 845.94, 2061.70, 2274.13, 296.39, 916.66, 303.87, 20.18, 5837.00, 44.90
 00Z 18 Aug 1985, VECC, 42809, 850818/0000, 22.64, 88.44, 6.0, -1.28, -4.28, -5.01, 256.41, 37.30, 20.10, 22.90, 43.00, 2656.27, 2923.02, -11.58, -6.24, 111.50, 110.61, 857.37, 891.51, 910.70, 1002.16, 299.28, 960.90, 302.73, 22.83, 5839.00, 71.67
 12Z 18 Aug 1985, VECC, 42809, 850818/1200, 22.64, 88.44, 6.0, -0.06, -4.17, -4.76, 231.40, 36.30, 19.70, 23.50, 43.20, 2833.25, 3035.90, -38.47, -28.14, 104.82, 104.61, 854.32, 869.65, 379.11, 406.22, 296.74, 939.59, 302.10, 20.01, 5788.00, 61.67
 00Z 19 Aug 1985, VECC, 42809, 850819/0000, 22.64, 88.44, 6.0, -0.96, -2.56, -3.05, 229.21, 38.20, 20.10, 23.70, 43.80, 675.75, 814.45, -82.68, -58.36, 177.61, 176.40, 752.49, 767.65, 3177.01, 3829.08, 296.56, 945.86, 301.36, 19.67, 5829.00, 66.08
 12Z 19 Aug 1985, VECC, 42809, 850819/1200, 22.64, 88.44, 6.0, 3.72, -2.07, -2.89, 251.13, 30.53, 16.90, 19.70, 36.60, 746.69, 980.78, -0.01, 0.00, 177.01, 175.04, 920.83, 920.83, 19.25, 25.29, 295.72, 920.83, 302.80, 19.21, 5805.01, 56.15
 00Z 20 Aug 1985, VECC, 42809, 850820/0000, 22.64, 88.44, 6.0, -3.83, -5.33, -6.11, 270.98, 40.90, 23.10, 23.90, 47.00, 3043.54, 3266.37, -2.88, -2.03, 101.35, 101.39, 882.61, 892.26, 580.31, 622.80, 298.62, 963.81, 301.81, 21.86, 5813.00, 71.80
 12Z 20 Aug 1985, VECC, 42809, 850820/1200, 22.64, 88.44, 6.0, 271.42, 369.94, -13.46, -11.02, 879.63, 890.29, 299.33, 959.22, 302.94, 22.95, -9996.00, 62.29
 00Z 21 Aug 1985, VECC, 42809, 850821/0000, 22.64, 88.44, 6.0, -0.13, -2.51, -3.21, 232.79, 35.70, 20.40, 22.10, 42.50, 957.58, 1145.83, 0.00, 0.00, 163.57, 162.77, 957.23, 957.23, 83.73, 100.19, 296.30, 957.23, 300.04, 19.29, 5804.00, 58.77
 12Z 21 Aug 1985, VECC, 42809, 850821/1200, 22.64, 88.44, 6.0, -2.68, -6.04, -6.92, 342.01, 40.50, 21.50, 25.50, 47.00, 4914.32, 5190.81, -2.46, -1.18, 104.15, 104.21, 917.39, 921.79, 72.43, 76.50, 297.55, 927.78, 304.02, 21.30, 5818.00, 65.25
 12Z 22 Aug 1985, VECC, 42809, 850822/1200, 22.64, 88.44, 6.0, -5.04, -4.89, -5.61, 270.39, 41.50, 24.30, 24.90, 49.20, 3006.20, 3187.49, -22.87, -19.07, 102.06, 102.25, 805.62, 815.29, 594.47, 630.32, 296.73, 937.12, 302.29, 20.04, 5804.00, 67.94
 12Z 23 Aug 1985, VECC, 42809, 850823/1200, 22.64, 88.44, 6.0, -6.67, -7.59, 28.02, 86.53, -21.74, -11.01, 836.16, 888.60, 297.29, 920.05, 304.49, 21.16, 56.49
 12Z 24 Aug 1985, VECC, 42809, 850824/1200, 22.64, 88.44, 6.0, 0.04, -4.48, -5.28, 36.04, 20.14, 23.14, 43.27, 2739.70, 2972.18, -4.10, -0.62, 112.31, 112.12, 903.55, 930.15, 296.74, 949.12, 301.22, 19.85, 5776.65, 57.74
