Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Nov 1985, VECC, 42809, 851101/0000, 22.64, 88.44, 6.0, 3.92, -0.11, -0.90, 158.60, 15.70, 16.90, 22.90, 39.80, 477.88, 586.94, -100.24, -87.75, 250.99, 250.98, 812.68, 836.56, 139.38, 171.19, 292.43, 938.12, 297.85, 15.27, 5757.00, 33.56
 12Z 01 Nov 1985, VECC, 42809, 851101/1200, 22.64, 88.44, 6.0, 5.24, -0.93, -1.60, 97.99, 24.10, 15.10, 25.10, 40.20, 531.78, 683.84, -72.69, -45.23, 264.40, 264.60, 790.68, 826.80, 331.71, 426.56, 288.13, 867.35, 300.11, 12.59, 5712.00, 25.61
 00Z 02 Nov 1985, VECC, 42809, 851102/0000, 22.64, 88.44, 6.0, 6.49, -1.73, -2.36, 68.98, 9.50, 14.50, 24.50, 39.00, 889.10, 1091.89, -52.66, -33.17, 218.60, 218.08, 845.53, 873.80, 226.17, 277.76, 291.21, 950.67, 295.48, 13.96, 5684.00, 24.64
 12Z 02 Nov 1985, VECC, 42809, 851102/1200, 22.64, 88.44, 6.0, 4.58, -2.80, -3.77, 151.59, 16.10, 23.10, 39.20, 993.79, 1343.37, -25.29, -8.50, 207.41, 207.42, 863.35, 884.73, 71.57, 96.75, 292.56, 901.06, 301.41, 16.08, 5742.00, 21.86
 00Z 03 Nov 1985, VECC, 42809, 851103/0000, 22.64, 88.44, 6.0, 13.04, 9.85, 9.58, 30.98, 6.90, 20.90, 27.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.19, 844.65, 294.06, 8.64, 5662.00, 11.40
 12Z 03 Nov 1985, VECC, 42809, 851103/1200, 22.64, 88.44, 6.0, 10.97, 6.67, 6.32, 34.98, 8.10, 23.10, 31.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 276.93, 748.22, 300.87, 7.44, 5688.00, 10.94
 00Z 04 Nov 1985, VECC, 42809, 851104/0000, 22.64, 88.44, 6.0, 8.96, 0.44, -0.16, 67.41, 4.50, 11.30, 23.30, 34.60, 40.41, 101.27, -93.03, -62.31, 698.01, 674.15, 798.78, 855.50, 1.43, 3.59, 289.50, 919.98, 296.52, 12.94, 5685.00, 21.96
 00Z 06 Nov 1985, VECC, 42809, 851106/0000, 22.64, 88.44, 6.0, 6.47, 1.15, 0.62, 101.01, 18.90, 13.90, 24.90, 38.80, 39.30, 77.25, -152.81, -109.82, 654.89, 650.93, 750.28, 775.91, 2.31, 4.54, 287.74, 900.38, 296.52, 11.83, 5675.00, 23.44
 12Z 06 Nov 1985, VECC, 42809, 851106/1200, 22.64, 88.44, 6.0, -0.62, -9.91, -10.92, 190.99, 15.90, 22.90, 26.90, 49.80, 2636.30, 2972.14, -0.43, 0.00, 196.30, 189.22, 919.53, 921.03, 105.07, 118.45, 293.67, 921.03, 300.67, 16.83, 5682.00, 30.49
 00Z 07 Nov 1985, VECC, 42809, 851107/0000, 22.64, 88.44, 6.0, 9.93, 0.75, 0.26, 46.00, 9.30, 24.30, 33.60, 29.45, 91.05, -115.00, -77.68, 673.13, 673.15, 816.01, 843.00, 1.73, 5.35, 287.99, 917.93, 295.15, 11.88, 5656.00, 16.75
 12Z 07 Nov 1985, VECC, 42809, 851107/1200, 22.64, 88.44, 6.0, 4.48, 6.62, 6.21, 156.21, 16.10, 24.10, 40.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 279.78, 777.84, 300.61, 8.21, 5713.00, 14.62
 12Z 08 Nov 1985, VECC, 42809, 851108/1200, 22.64, 88.44, 6.0, 6.89, 1.40, 0.95, 112.22, 26.40, 13.90, 24.90, 38.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.85, 818.31, 299.55, 9.50, 5690.00, 18.04
 00Z 09 Nov 1985, VECC, 42809, 851109/0000, 22.64, 88.44, 6.0, 6.32, 1.04, 0.61, 95.41, 5.70, 12.50, 27.50, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.50, 882.36, 295.93, 10.49, 5676.00, 17.60
 12Z 09 Nov 1985, VECC, 42809, 851109/1200, 22.64, 88.44, 6.0, 10.19, 4.12, 3.63, 79.59, 8.50, 23.50, 32.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.49, 799.38, 301.18, 9.51, 5698.00, 15.75
