Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 15 Jul 1986,6,500.0,5920,1.0,NA,NA,NA,145,14,334.2,NA,334.2
00Z 15 Jul 1986,7,400.0,7700,-12.1,NA,NA,NA,100,21,339.2,NA,339.2
00Z 15 Jul 1986,8,300.0,9890,-26.3,NA,NA,NA,60,33,348.2,NA,348.2
00Z 15 Jul 1986,9,250.0,11210,-36.3,NA,NA,NA,NA,NA,352.0,NA,352.0
00Z 15 Jul 1986,10,200.0,12723,-47.1,NA,NA,NA,NA,NA,358.0,NA,358.0
00Z 18 Jul 1986,0,1000.0
00Z 18 Jul 1986,1,997.0,20,27.0,26.0,94,21.80,90,4,300.4,364.8,304.3
00Z 18 Jul 1986,2,920.0,736,24.4,22.9,91,19.55,108,9,304.7,363.4,308.3
00Z 18 Jul 1986,3,850.0,1430,18.6,16.5,88,14.09,125,13,305.6,348.1,308.2
00Z 18 Jul 1986,4,700.0,3097,12.0,8.8,81,10.26,160,14,315.7,348.1,317.7
00Z 18 Jul 1986,5,516.0,5644,0.0,-15.0,31,2.32,169,9,330.0,338.3,330.5
00Z 18 Jul 1986,6,500.0,5900,-1.7,-11.7,46,3.14,170,8,330.9,341.9,331.5
00Z 18 Jul 1986,7,400.0,7680,-12.1,-19.1,56,2.12,225,4,339.2,347.0,339.6
00Z 18 Jul 1986,8,300.0,9870,-25.7,-30.1,67,1.05,5,12,349.0,353.2,349.3
00Z 18 Jul 1986,9,250.0,11200,-36.1,-43.1,48,0.34,5,13,352.2,353.7,352.3
00Z 18 Jul 1986,10,200.0,12707,-49.1,NA,NA,NA,70,23,354.9,NA,354.9
00Z 18 Jul 1986,11,150.0,14600,-3.3,NA,NA,NA,NA,NA,464.0,NA,464.0
00Z 19 Jul 1986,0,1000.0
00Z 19 Jul 1986,1,996.0,20,27.0,26.0,94,21.82,40,6,300.5,365.0,304.4
00Z 19 Jul 1986,2,920.0,731,24.6,24.0,96,20.93,105,13,304.9,367.9,308.7
00Z 19 Jul 1986,3,850.0,1431,20.0,17.0,83,14.56,170,20,307.1,351.2,309.8
00Z 19 Jul 1986,4,700.0,3108,12.0,5.0,62,7.87,145,18,315.7,340.8,317.2
00Z 19 Jul 1986,5,500.0,5880,-2.7,-6.6,75,4.69,180,10,329.7,345.8,330.6
00Z 19 Jul 1986,6,400.0,7618,-11.9,-15.6,74,2.85,340,9,339.4,349.8,340.0
00Z 19 Jul 1986,7,300.0,9890,-27.1,NA,NA,NA,NA,NA,347.1,NA,347.1
00Z 20 Jul 1986,0,1000.0
00Z 20 Jul 1986,1,997.0,20,27.0,26.0,94,21.80,90,2,300.4,364.8,304.3
00Z 20 Jul 1986,2,992.0,65,27.0,26.0,94,21.91,91,2,300.8,365.7,304.8
00Z 20 Jul 1986,3,920.0,734,21.6,18.2,81,14.51,113,10,301.9,344.9,304.5
00Z 20 Jul 1986,4,850.0,1425,19.0,17.6,92,15.13,135,17,306.0,351.7,308.8
00Z 20 Jul 1986,5,700.0,3107,13.4,6.4,63,8.69,135,20,317.3,345.0,318.9
00Z 20 Jul 1986,6,500.0,5910,-2.3,-5.6,78,5.07,130,9,330.2,347.5,331.2
00Z 20 Jul 1986,7,400.0,7680,-12.1,-17.1,66,2.52,40,21,339.2,348.4,339.7
00Z 20 Jul 1986,8,300.0,9880,-24.5,NA,NA,NA,70,19,350.7,NA,350.7
00Z 20 Jul 1986,9,250.0,11200,-35.3,NA,NA,NA,30,15,353.4,NA,353.4
00Z 20 Jul 1986,10,200.0,12709,-49.3,NA,NA,NA,30,24,354.5,NA,354.5
00Z 20 Jul 1986,11,150.0,14655,-65.1,NA,NA,NA,55,17,357.7,NA,357.7
00Z 20 Jul 1986,12,100.0,17050,-78.1,NA,NA,NA,NA,NA,376.6,NA,376.6
00Z 21 Jul 1986,0,1000.0
00Z 21 Jul 1986,1,997.0,20,27.4,26.0,92,21.80,90,6,300.8,365.3,304.7
00Z 21 Jul 1986,2,920.0,762,25.0,20.0,74,16.28,108,18,305.3,354.3,308.3
00Z 21 Jul 1986,3,850.0,1483,20.4,17.3,82,14.84,125,30,307.5,352.5,310.2
00Z 21 Jul 1986,4,700.0,3127,12.0,8.1,77,9.77,95,52,315.7,346.6,317.6
00Z 21 Jul 1986,5,500.0,5930,-2.5,-5.5,80,5.11,145,139,329.9,347.4,330.9
00Z 21 Jul 1986,6,400.0,7700,-12.3,-20.3,51,1.92,280,6,338.9,346.0,339.3
00Z 21 Jul 1986,7,300.0,9890,-25.7,NA,NA,NA,85,12,349.0,NA,349.0
