Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 15 Dec 2017, 41883, 171215/0000, 24.85, 89.36, 20.0, 14.64, 11.75, 11.48, 113.00, 4.70, 19.70, 24.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.63, 874.57, 292.64, 8.05, 5692.00, 10.58
 00Z 19 Dec 2017, 41883, 171219/0000, 24.85, 89.36, 20.0, 16.38, 10.50, 10.18, 51.01, 1.90, 18.90, 20.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.51, 974.44, 289.66, 10.67, 5719.00, 14.62
 00Z 20 Dec 2017, 41883, 171220/0000, 24.85, 89.36, 20.0, 14.04, 12.29, 12.07, 81.20, -28.70, 7.70, 17.70, 25.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.80, 959.23, 289.25, 9.69, 5722.00, 19.25
 00Z 21 Dec 2017, 41883, 171221/0000, 24.85, 89.36, 20.0, 10.61, 10.30, 10.11, 164.22, 1.70, 13.90, 16.10, 30.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.28, 969.02, 289.90, 10.57, 5706.00, 29.25
 00Z 22 Dec 2017, 41883, 171222/0000, 24.85, 89.36, 20.0, 11.31, 9.47, 9.44, 133.21, 2.90, 12.30, 17.30, 29.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.59, 923.56, 292.17, 9.93, 5709.00, 28.14
 00Z 23 Dec 2017, 41883, 171223/0000, 24.85, 89.36, 20.0, 13.18, 10.26, 9.93, 107.19, 9.90, 16.90, 26.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.72, 931.98, 291.55, 9.92, 5703.00, 14.17
 00Z 24 Dec 2017, 41883, 171224/0000, 24.85, 89.36, 20.0, 13.11, 8.68, 8.36, 45.01, 7.30, 20.30, 27.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.71, 915.11, 292.05, 9.46, 5700.00, 12.71
 00Z 26 Dec 2017, 41883, 171226/0000, 24.85, 89.36, 20.0, 4.17, 1.85, 1.58, 69.99, 10.70, 16.10, 29.10, 45.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.99, 917.89, 291.05, 8.98, 5588.00, 19.27
 00Z 27 Dec 2017, 41883, 171227/0000, 24.85, 89.36, 20.0, 13.95, 12.92, 12.70, 65.00, -4.90, -0.10, 23.90, 23.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.32, 933.76, 288.96, 8.43, 5674.00, 16.47
 00Z 28 Dec 2017, 41883, 171228/0000, 24.85, 89.36, 20.0, 15.60, 14.53, 14.38, 46.00, -27.50, -5.90, 24.10, 18.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.26, 911.10, 288.86, 7.58, 5716.00, 10.74
 00Z 29 Dec 2017, 41883, 171229/0000, 24.85, 89.36, 20.0, 14.60, 9.49, 9.29, 43.01, -29.70, -3.50, 24.50, 21.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.85, 926.05, 290.18, 8.92, 5702.00, 12.45
 00Z 30 Dec 2017, 41883, 171230/0000, 24.85, 89.36, 20.0, 14.56, 6.96, 6.71, 42.99, -21.50, -3.50, 24.50, 21.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.50, 916.94, 291.67, 9.38, 5680.00, 13.98
 00Z 02 Dec 2018, 41883, 181202/0000, 24.85, 89.36, 20.0, 0.00, 0.00, 0.00, 0.00, 283.67, 885.74, 293.70, 9.11, ********, 7.92
 00Z 04 Dec 2018, 41883, 181204/0000, 24.85, 89.36, 20.0, 11.40, 11.41, 11.20, 94.59, -11.90, 10.30, 19.30, 29.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.87, 867.21, 293.60, 8.23, 5701.00, 18.88
 00Z 06 Dec 2018, 41883, 181206/0000, 24.85, 89.36, 20.0, 7.22, 6.37, 6.12, 121.39, -7.90, 15.90, 21.90, 37.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.02, 923.05, 291.63, 9.56, 5669.00, 20.80
 00Z 08 Dec 2018, 41883, 181208/0000, 24.85, 89.36, 20.0, 8.32, 8.38, 8.14, 94.21, -18.70, 15.70, 20.70, 36.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.98, 890.04, 291.54, 8.08, 5632.00, 16.19
 00Z 10 Dec 2018, 41883, 181210/0000, 24.85, 89.36, 20.0, 10.77, 6.38, 6.11, 45.98, -10.30, 9.30, 23.30, 32.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.24, 859.29, 293.71, 7.96, 5637.00, 14.71
 00Z 12 Dec 2018, 41883, 181212/0000, 24.85, 89.36, 20.0, 9.87, 6.15, 5.93, 73.02, -2.50, 7.10, 26.10, 33.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.06, 891.08, 292.56, 8.69, 5646.00, 17.18
