Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 09 Jun 2018, 41883, 180609/0000, 24.85, 89.36, 20.0, -0.22, -3.81, -4.74, 224.01, 35.80, 19.20, 23.30, 42.50, 1755.73, 2001.75, -34.32, -16.67, 129.12, 126.51, 821.31, 864.77, 2308.96, 2632.50, 297.64, 938.19, 303.13, 21.19, 5851.00, 63.65
 00Z 10 Jun 2018, 41883, 180610/0000, 24.85, 89.36, 20.0, -2.46, -3.78, -4.35, 258.39, 39.90, 21.20, 24.70, 45.90, 1141.37, 1290.41, -104.87, -81.07, 140.29, 138.40, 763.24, 787.59, 140.46, 158.80, 295.89, 905.61, 304.44, 19.76, 5851.00, 68.91
 00Z 11 Jun 2018, 41883, 180611/0000, 24.85, 89.36, 20.0, -1.44, -2.75, -3.08, 253.19, 39.30, 20.50, 23.30, 43.80, 641.53, 756.66, -67.21, -48.06, 179.48, 176.27, 773.47, 798.42, 79.71, 94.01, 296.13, 919.58, 303.34, 19.74, 5850.00, 71.09
 00Z 12 Jun 2018, 41883, 180612/0000, 24.85, 89.36, 20.0, 0.46, -2.30, -2.99, 253.61, 36.40, 18.60, 21.70, 40.30, 1165.61, 1360.30, -44.89, -24.98, 136.10, 134.32, 822.29, 857.69, 131.86, 153.89, 296.63, 912.33, 304.54, 20.71, 5859.00, 67.25
 00Z 13 Jun 2018, 41883, 180613/0000, 24.85, 89.36, 20.0, -1.91, -0.94, -1.35, 277.01, 40.60, 20.80, 23.10, 43.90, 176.04, 252.18, -132.65, -117.53, 337.48, 347.50, 741.60, 753.79, 5.78, 8.28, 294.64, 901.47, 303.52, 18.35, 5853.00, 68.88
 00Z 14 Jun 2018, 41883, 180614/0000, 24.85, 89.36, 20.0, -1.52, -5.14, -6.00, 292.99, 39.50, 19.90, 25.90, 45.80, 1754.08, 2013.30, -64.06, -36.08, 138.60, 137.57, 789.80, 817.36, 53.27, 61.14, 297.04, 919.34, 304.30, 20.86, 5845.00, 62.13
 00Z 15 Jun 2018, 41883, 180615/0000, 24.85, 89.36, 20.0, -3.07, -2.51, -2.74, 278.43, 38.10, 20.90, 28.90, 49.80, 203.97, 260.19, -325.40, -274.14, 381.04, 382.79, 670.59, 706.59, 3.63, 4.63, 292.91, 888.28, 303.04, 16.90, 5836.00, 57.64
 00Z 16 Jun 2018, 41883, 180616/0000, 24.85, 89.36, 20.0, -1.01, -5.47, -6.42, 212.99, 40.30, 18.70, 28.70, 47.40, 1261.02, 1448.99, -163.37, -116.41, 163.06, 161.98, 753.32, 773.72, 35.06, 40.29, 296.24, 924.29, 303.02, 19.74, 5832.00, 59.75
 00Z 17 Jun 2018, 41883, 180617/0000, 24.85, 89.36, 20.0, -0.62, -3.22, -4.01, 234.82, 39.20, 18.30, 27.30, 45.60, 842.45, 1001.42, -167.80, -130.60, 179.36, 178.35, 735.40, 752.86, 14.89, 17.70, 296.52, 940.01, 301.83, 19.70, 5830.00, 62.81
 00Z 18 Jun 2018, 41883, 180618/0000, 24.85, 89.36, 20.0, -1.27, -2.88, -3.45, 328.18, 40.70, 19.10, 27.10, 46.20, 850.18, 976.06, -177.33, -145.51, 179.72, 178.44, 737.51, 750.76, 18.87, 21.67, 296.01, 932.08, 302.05, 19.25, 5836.00, 64.95
 00Z 20 Jun 2018, 41883, 180620/0000, 24.85, 89.36, 20.0, -3.21, -2.24, -2.96, 263.21, 43.00, 22.10, 24.30, 46.40, 599.29, 741.16, -117.15, -109.70, 181.71, 179.70, 771.84, 779.47, 23.64, 29.24, 295.96, 934.99, 301.72, 19.13, 5834.00, 67.44
 00Z 21 Jun 2018, 41883, 180621/0000, 24.85, 89.36, 20.0, -1.36, -1.94, -2.47, 251.61, 35.70, 20.50, 22.90, 43.40, 947.76, 1099.97, -85.84, -61.83, 163.96, 162.06, 770.34, 799.67, 86.65, 100.56, 295.81, 922.07, 302.77, 19.30, 5840.00, 64.01
 00Z 22 Jun 2018, 41883, 180622/0000, 24.85, 89.36, 20.0, -5.89, -10.83, -12.12, 374.22, 40.86, 25.26, 29.56, 54.83, 3071.12, 3228.76, -2.69, -0.71, 205.58, 205.57, 905.46, 932.22, 12.90, 13.56, 297.95, 951.30, 302.26, 21.30, 3740.79, 65.36
 00Z 23 Jun 2018, 41883, 180623/0000, 24.85, 89.36, 20.0, 0.31, -2.69, -3.63, 231.99, 26.80, 19.00, 22.30, 41.30, 1187.57, 1463.48, -26.58, -10.98, 142.24, 141.07, 817.06, 872.06, 280.41, 345.56, 296.96, 936.47, 302.60, 20.37, 5846.00, 54.35
 00Z 29 Jun 2018, 41883, 180629/0000, 24.85, 89.36, 20.0, 2.08, -1.05, -1.53, 221.80, 32.00, 18.00, 21.10, 39.10, 222.97, 360.78, -22.69, -8.99, 249.42, 246.42, 677.91, 885.08, 98.79, 159.85, 295.98, 949.46, 300.41, 18.86, 5821.00, 61.92
