Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 May 1986, VGTJ, 41923, 860501/0000, 23.76, 90.37, 9.0, 1.38, -1.15, -1.68, 365.55, 35.80, 19.40, 22.90, 42.30, 992.15, 1120.29, -34.29, -24.54, 271.85, 271.89, 830.25, 843.35, 26.60, 30.03, 294.42, 963.68, 297.57, 16.84, 5742.00, 51.13
 00Z 02 May 1986, VGTJ, 41923, 860502/0000, 23.76, 90.37, 9.0, -0.07, -1.76, -2.25, 230.61, 32.30, 20.90, 22.50, 43.40, 642.25, 787.96, -1.59, -0.19, 280.22, 280.21, 884.17, 931.71, 31.56, 38.72, 295.59, 978.46, 297.45, 17.84, 5767.00, 53.17
 00Z 03 May 1986, VGTJ, 41923, 860503/0000, 23.76, 90.37, 9.0, -4.79, -5.54, 258.26, 390.27, -15.22, -6.14, 856.31, 898.76, 296.50, 950.77, 300.83, 19.47, 50.44
 00Z 05 May 1986, VGTJ, 41923, 860505/0000, 23.76, 90.37, 9.0, -5.18, -6.16, -7.01, 365.40, 37.90, 23.70, 31.70, 55.40, 873.90, 1023.89, -3.19, -1.85, 283.07, 282.11, 919.32, 926.69, 19.17, 22.46, 294.63, 952.28, 298.80, 17.28, 5756.00, 47.09
 00Z 06 May 1986, VGTJ, 41923, 860506/0000, 23.76, 90.37, 9.0, -4.40, -1.89, -2.33, 465.86, 35.20, 25.60, 25.90, 51.50, 256.54, 316.28, -164.62, -142.84, 398.24, 393.90, 628.02, 646.16, 1.75, 2.15, 291.67, 941.13, 296.79, 14.48, 5736.00, 47.48
 00Z 09 May 1986, VGTJ, 41923, 860509/0000, 23.76, 90.37, 9.0, -4.40, -7.68, -8.40, 268.81, 35.90, 25.90, 26.50, 52.40, 1373.12, 1546.61, -4.94, -3.14, 311.50, 311.43, 915.27, 922.12, 1025.41, 1154.98, 294.91, 950.87, 299.20, 17.61, 5757.00, 51.48
 00Z 15 May 1986, VGTJ, 41923, 860515/0000, 23.76, 90.37, 9.0, -2.47, -6.25, -7.17, 334.49, 35.49, 22.98, 24.82, 47.81, 1735.36, 1981.86, -7.24, -3.79, 901.95, 916.03, 30.38, 34.69, 296.09, 942.82, 301.13, 19.13, 5752.68, 51.19
 00Z 16 May 1986, VGTJ, 41923, 860516/0000, 23.76, 90.37, 9.0, 3.02, 1.42, 0.96, 169.41, 23.70, 17.50, 24.50, 42.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 290.90, 941.77, 295.96, 13.80, 5736.00, 38.11
 00Z 17 May 1986, VGTJ, 41923, 860517/0000, 23.76, 90.37, 9.0, -3.10, -5.76, -6.43, 272.59, 36.50, 22.70, 28.70, 51.40, 740.21, 855.86, -129.33, -94.13, 300.57, 296.11, 696.57, 723.01, 17.51, 20.24, 295.35, 968.48, 298.09, 17.80, 5789.00, 53.51
 00Z 18 May 1986, VGTJ, 41923, 860518/0000, 23.76, 90.37, 9.0, -2.54, -3.03, -3.66, 228.98, 33.30, 22.90, 24.30, 47.20, 918.71, 1090.74, -58.64, -54.91, 326.12, 327.48, 833.40, 838.73, 39.91, 47.38, 295.10, 957.04, 298.86, 17.70, 5761.00, 50.34
