Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Dec 1985, VGTJ, 41923, 851202/0000, 23.76, 90.37, 9.0, 10.78, 4.45, 4.29, 72.61, 12.70, 10.90, 20.90, 31.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 288.12, 945.47, 292.80, 11.46, 5703.00, 42.46
 00Z 05 Dec 1985, VGTJ, 41923, 851205/0000, 23.76, 90.37, 9.0, 9.41, 5.30, 5.25, 129.81, 21.80, 14.60, 18.10, 32.70, 5.36, 12.78, -20.37, -15.02, 831.40, 823.86, 878.77, 890.17, 0.50, 1.19, 288.53, 947.45, 293.04, 11.78, 5727.00, 41.69
 00Z 07 Dec 1985, VGTJ, 41923, 851207/0000, 23.76, 90.37, 9.0, 9.00, 6.44, 6.43, 150.99, 18.40, 14.40, 16.90, 31.30, 0.19, 2.07, -30.09, -25.37, 847.20, 842.34, 858.29, 871.25, 0.00, 0.02, 289.96, 957.97, 293.56, 12.77, 5815.00, 46.19
 00Z 11 Dec 1985, VGTJ, 41923, 851211/0000, 23.76, 90.37, 9.0, 20.16, 20.51, 0.00, 0.00, 0.00, 0.00, 279.32, 908.41, 287.11, 6.61, 9.49
 00Z 17 Dec 1985, VGTJ, 41923, 851217/0000, 23.76, 90.37, 9.0, 3.17, 1.19, 1.01, 174.62, 26.70, 17.90, 24.90, 42.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 290.12, 946.42, 294.74, 13.06, 5762.00, 43.67
 00Z 19 Dec 1985, VGTJ, 41923, 851219/0000, 23.76, 90.37, 9.0, 1.09, 1.91, 1.59, 236.99, 27.30, 21.30, 24.30, 45.60, 0.00, 3.75, 0.00, -115.36, 668.55, 713.49, 0.00, 0.10, 289.50, 959.53, 292.97, 12.35, 5686.00, 35.28
 00Z 20 Dec 1985, VGTJ, 41923, 851220/0000, 23.76, 90.37, 9.0, 6.46, 1.63, 1.20, 150.20, 20.10, 17.10, 21.50, 38.60, 171.56, 230.47, -31.02, -25.99, 873.65, 886.61, 6.86, 9.21, 289.44, 956.79, 293.14, 12.36, 5641.00, 31.31
 00Z 21 Dec 1985, VGTJ, 41923, 851221/0000, 23.76, 90.37, 9.0, 6.68, 10.56, 10.58, 113.65, 18.21, 15.70, 22.61, 38.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.75, 943.63, 288.52, 8.58, 5665.00, 29.60
 00Z 22 Dec 1985, VGTJ, 41923, 851222/0000, 23.76, 90.37, 9.0, 5.57, 7.64, 7.25, 22.21, 15.03, 23.37, 38.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.89, 909.07, 293.81, 10.33, 5619.15, 31.29
 00Z 23 Dec 1985, VGTJ, 41923, 851223/0000, 23.76, 90.37, 9.0, 9.91, 9.64, 23.74, 0.00, 0.00, 0.00, 0.00, 280.14, 842.11, 294.27, 7.60, 5501.11, 6.47
 00Z 24 Dec 1985, VGTJ, 41923, 851224/0000, 23.76, 90.37, 9.0, 2.32, -0.86, -1.15, 154.65, 25.10, 20.90, 24.10, 45.00, 248.24, 337.09, -56.52, -48.31, 399.10, 396.73, 853.61, 862.34, 26.84, 36.45, 289.04, 931.16, 295.02, 12.39, 5726.00, 34.79
 00Z 25 Dec 1985, VGTJ, 41923, 851225/0000, 23.76, 90.37, 9.0, 4.82, 5.15, 5.03, 133.81, 20.80, 18.80, 22.90, 41.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.01, 922.73, 291.65, 9.56, 5632.00, 29.40
 00Z 26 Dec 1985, VGTJ, 41923, 851226/0000, 23.76, 90.37, 9.0, 3.24, 2.85, -2.80, 1151.41, 1285.18, 0.00, 0.00, 713.95, 714.45, 960.34, 960.34, 20.11, 22.45, 288.03, 960.34, 291.38, 10.99, 5650.00, 1.79
 00Z 28 Dec 1985, VGTJ, 41923, 851228/0000, 23.76, 90.37, 9.0, 1.96, -2.02, -2.27, 294.19, 30.20, 20.90, 23.90, 44.80, 706.10, 803.72, -5.90, -5.18, 261.70, 261.74, 917.50, 923.77, 15.92, 18.13, 291.94, 970.91, 294.43, 14.30, 5665.00, 41.72
 00Z 01 Dec 1986, VGTJ, 41923, 861201/0000, 23.76, 90.37, 9.0, 4.75, 1.41, 0.83, 24.59, 16.99, 22.99, 39.97, 5.61, 28.47, -58.51, -13.95, 714.93, 686.25, 777.88, 894.82, 290.99, 960.72, 294.36, 13.64, 5608.65, 33.22
 00Z 02 Dec 1986, VGTJ, 41923, 861202/0000, 23.76, 90.37, 9.0, 8.70, 5.70, 5.52, 73.81, 13.90, 11.50, 23.50, 35.00, 0.00, 0.00, 0.00, 0.00, 286.54, 926.19, 292.91, 10.56, 5718.00, 32.88
 00Z 03 Dec 1986, VGTJ, 41923, 861203/0000, 23.76, 90.37, 9.0, 0.00, 0.00, 0.00, 0.00, 290.47, 973.51, 292.72, 12.96, ********, 19.56
 00Z 05 Dec 1986, VGTJ, 41923, 861205/0000, 23.76, 90.37, 9.0, 6.36, 6.84, 6.72, 86.98, 18.70, 13.70, 24.70, 38.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.88, 899.05, 293.69, 9.92, 5711.00, 36.98
 00Z 06 Dec 1986, VGTJ, 41923, 861206/0000, 23.76, 90.37, 9.0, 5.29, 16.78, 16.62, 15.52, 23.52, 39.04, 803.64, 839.88, 0.00, 0.00, 860.18, 860.12, 894.60, 894.60, inf, inf, 279.12, 894.60, 288.12, 9.16, 5318.92, 11.26
 00Z 07 Dec 1986, VGTJ, 41923, 861207/0000, 23.76, 90.37, 9.0, 3.73, 2.60, 2.46, 112.79, 26.70, 17.30, 25.30, 42.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.38, 960.85, 292.73, 12.26, 5709.00, 40.07
 00Z 08 Dec 1986, VGTJ, 41923, 861208/0000, 23.76, 90.37, 9.0, 7.43, 3.84, 3.72, 79.80, 20.10, 14.70, 22.70, 37.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.86, 947.68, 292.34, 11.26, 5677.00, 34.27
