Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 07 Apr 1986, VGTJ, 41923, 860407/0000, 23.76, 90.37, 9.0, 0.62, -3.29, -3.78, 189.01, 31.30, 21.10, 25.30, 46.40, 1182.33, 1322.67, -45.20, -33.40, 846.52, 858.64, 33.35, 37.31, 289.75, 884.81, 300.08, 13.64, 5703.00, 39.28
 00Z 08 Apr 1986, VGTJ, 41923, 860408/0000, 23.76, 90.37, 9.0, -0.05, -3.66, -4.32, 185.81, 28.50, 20.10, 27.10, 47.20, 1043.25, 1140.02, -86.71, -54.66, 766.64, 795.58, 24.98, 27.30, 293.34, 946.22, 298.03, 16.04, 5763.00, 123.73
 00Z 10 Apr 1986, VGTJ, 41923, 860410/0000, 23.76, 90.37, 9.0, -5.63, -8.35, -9.24, 342.21, 40.80, 25.90, 27.90, 53.80, 2673.20, 2900.12, -26.47, -22.04, 868.21, 879.78, 53.05, 57.56, 296.11, 951.19, 300.39, 19.01, 5774.00, 55.59
 00Z 11 Apr 1986, VGTJ, 41923, 860411/0000, 23.76, 90.37, 9.0, -4.33, -3.64, -4.31, 321.39, 40.70, 22.50, 30.50, 53.00, 3430.63, 3592.77, -308.66, -279.75, 188.25, 187.91, 730.17, 740.73, 98.88, 103.55, 294.41, 951.59, 298.65, 17.05, 5766.00, 49.17
 00Z 12 Apr 1986, VGTJ, 41923, 860412/0000, 23.76, 90.37, 9.0, -6.43, -6.49, -7.26, 37.60, 26.40, 30.50, 56.90, 1411.57, 1564.44, -120.88, -69.79, 712.75, 806.73, 168.58, 186.84, 290.99, 883.39, 301.54, 14.81, 5776.00, 44.62
 00Z 13 Apr 1986, VGTJ, 41923, 860413/0000, 23.76, 90.37, 9.0, -7.26, -0.91, -1.39, 537.78, 36.30, 27.30, 27.30, 54.60, 139.79, 185.34, -484.57, -453.58, 347.24, 349.42, 538.94, 549.97, 1.73, 2.29, 291.78, 943.65, 296.69, 14.55, 5820.00, 50.95
 00Z 14 Apr 1986, VGTJ, 41923, 860414/0000, 23.76, 90.37, 9.0, -7.03, -7.28, -8.21, 588.54, 41.59, 24.59, 32.59, 57.18, 1002.07, 1174.86, -2.25, -1.01, 918.99, 931.45, 13.20, 15.48, 296.93, 962.84, 300.18, 19.72, 5776.19, 53.75
 00Z 15 Apr 1986, VGTJ, 41923, 860415/0000, 23.76, 90.37, 9.0, 5.10, -3.81, -4.81, 125.40, 12.70, 9.50, 30.50, 40.00, 2370.58, 2607.86, -403.44, -275.72, 701.78, 738.68, 50.00, 55.01, 295.54, 945.04, 300.37, 18.49, 5851.00, 31.72
 00Z 16 Apr 1986, VGTJ, 41923, 860416/0000, 23.76, 90.37, 9.0, 4.17, -4.03, -4.96, 167.40, 26.70, 12.50, 28.50, 41.00, 1966.36, 2186.13, -196.66, -114.79, 742.44, 773.88, 25.53, 28.39, 295.15, 930.86, 301.29, 18.45, 5796.00, 42.24
 00Z 17 Apr 1986, VGTJ, 41923, 860417/0000, 23.76, 90.37, 9.0, -7.14, -7.95, -8.89, 429.19, 41.30, 25.70, 30.70, 56.40, 1123.10, 1307.74, -118.01, -95.23, 773.85, 789.65, 9.55, 11.12, 296.34, 943.32, 301.36, 19.42, 5821.00, 54.56
 00Z 18 Apr 1986, VGTJ, 41923, 860418/0000, 23.76, 90.37, 9.0, -10.14, -10.50, -11.54, 550.20, 44.90, 28.30, 34.30, 62.60, 3470.06, 3688.17, -1.16, -0.38, 159.26, 159.22, 931.10, 938.42, 109.42, 116.30, 296.65, 952.90, 300.80, 19.61, 5686.00, 55.28
 00Z 19 Apr 1986, VGTJ, 41923, 860419/0000, 23.76, 90.37, 9.0, -7.53, -7.62, -8.52, 593.46, 43.50, 25.50, 32.50, 58.00, 2943.89, 3151.89, -0.90, -0.26, 180.02, 179.49, 924.03, 935.74, 122.27, 130.91, 296.77, 968.45, 299.53, 19.42, 5776.00, 54.59
 00Z 20 Apr 1986, VGTJ, 41923, 860420/0000, 23.76, 90.37, 9.0, -2.87, -5.21, -6.11, 247.80, 31.30, 23.50, 25.90, 49.40, 1944.36, 2168.99, -38.48, -34.49, 199.95, 199.96, 832.97, 861.29, 52.06, 58.07, 295.07, 956.67, 298.86, 17.73, 5767.00, 47.58
 00Z 21 Apr 1986, VGTJ, 41923, 860421/0000, 23.76, 90.37, 9.0, 1.70, -0.90, -1.56, 152.21, 26.30, 16.70, 28.70, 45.40, 439.85, 556.21, -323.20, -270.76, 310.82, 310.83, 681.52, 703.75, 7.23, 9.15, 291.86, 942.63, 296.85, 14.64, 5737.00, 36.83
 00Z 22 Apr 1986, VGTJ, 41923, 860422/0000, 23.76, 90.37, 9.0, -4.69, -4.61, -5.16, 304.81, 36.90, 23.50, 31.50, 55.00, 944.19, 1044.76, -338.79, -293.75, 256.38, 256.17, 671.89, 695.52, 446.43, 493.98, 290.46, 881.23, 301.17, 14.33, 5803.00, 44.59
 00Z 23 Apr 1986, VGTJ, 41923, 860423/0000, 23.76, 90.37, 9.0, -6.57, -8.39, -9.35, 358.01, 27.10, 30.10, 57.20, 5634.05, 6008.69, -55.78, -48.24, 212.14, 212.12, 849.87, 849.93, 646.40, 689.38, 293.02, 916.24, 300.46, 16.23, 5755.00, 23.82
 00Z 24 Apr 1986, VGTJ, 41923, 860424/0000, 23.76, 90.37, 9.0, -0.56, -4.79, -5.47, 195.39, 32.10, 20.90, 25.90, 46.80, 2139.80, 2343.20, -22.17, -6.11, 198.69, 198.70, 822.53, 874.00, 73.56, 80.56, 295.23, 961.31, 298.61, 17.80, 5678.00, 46.56
 00Z 29 Apr 1986, VGTJ, 41923, 860429/0000, 23.76, 90.37, 9.0, -2.73, -0.40, -0.65, 239.80, 37.30, 21.90, 29.90, 51.80, 8.46, 22.07, -434.90, -398.88, 491.26, 487.83, 561.96, 561.00, 0.42, 1.09, 289.57, 914.94, 297.04, 13.02, 5741.00, 49.13
 00Z 30 Apr 1986, VGTJ, 41923, 860430/0000, 23.76, 90.37, 9.0, 1.48, 0.34, 0.04, 195.94, 31.01, 20.50, 23.21, 43.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 291.51, 956.02, 295.31, 14.12, 5717.00, 44.97
 00Z 01 Apr 1987, VGTJ, 41923, 870401/0000, 23.76, 90.37, 9.0, -3.37, -3.84, -4.43, 279.58, 36.30, 22.50, 29.50, 52.00, 845.29, 989.99, -8.82, 0.00, 903.48, 927.96, 62.16, 72.80, 292.79, 928.99, 299.03, 16.09, 5751.00, 42.25
 00Z 02 Apr 1987, VGTJ, 41923, 870402/0000, 23.76, 90.37, 9.0, -1.35, -3.85, -4.47, 371.31, 34.30, 20.30, 28.30, 48.60, 1114.62, 1268.19, -0.09, 0.00, 946.81, 951.35, 14.90, 16.95, 294.56, 952.43, 298.72, 17.23, 5755.00, 46.91
 00Z 03 Apr 1987, VGTJ, 41923, 870403/0000, 23.76, 90.37, 9.0, 1.50, -2.61, -3.49, 264.36, 30.50, 15.50, 29.50, 45.00, 1471.13, 1665.54, -326.76, -248.25, 728.75, 747.46, 20.03, 22.68, 294.47, 940.57, 299.71, 17.42, 5787.00, 39.47
 00Z 04 Apr 1987, VGTJ, 41923, 870404/0000, 23.76, 90.37, 9.0, -5.58, -5.10, -5.95, 491.76, 40.50, 22.30, 32.30, 54.60, 1570.97, 1751.48, -451.44, -408.98, 697.17, 715.59, 14.06, 15.68, 296.58, 947.36, 301.23, 19.63, 5832.00, 58.52
