Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 28 Jul 1990, 41977, 900728/0000, 22.35, 91.80, 34.0, 1.55, -0.64, -0.93, 420.63, 34.51, 18.41, 20.40, 38.81, 148.51, 224.37, -9.53, -4.57, 861.14, 886.47, 0.94, 1.42, 296.57, 955.19, 300.51, 19.45, 16047.00, 61.17
 00Z 03 Jul 1991, 41977, 910703/0000, 22.35, 91.80, 34.0, -2.04, -2.35, -2.68, 282.80, 38.40, 21.90, 21.90, 43.80, 613.05, 784.80, -6.14, -5.09, 189.98, 189.37, 876.40, 881.79, 56.18, 71.92, 296.88, 958.15, 300.54, 19.74, 15869.00, 66.10
 00Z 07 Jul 1991, 41977, 910707/0000, 22.35, 91.80, 34.0, -7.20, 376.40, 41.90, 26.70, 26.70, 53.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -96.87, 19.22, 5770.00, 49.93
 00Z 10 Jul 1991, 41977, 910710/0000, 22.35, 91.80, 34.0, -0.87, -3.89, -4.69, 274.59, 38.50, 20.50, 21.70, 42.20, 2244.45, 2443.15, -2.48, -1.04, 148.21, 148.20, 919.83, 932.85, 164.22, 178.76, 298.42, 958.97, 302.03, 21.72, 5814.00, 74.37
 00Z 14 Jul 1991, 41977, 910714/0000, 22.35, 91.80, 34.0, 64.42, 63.54, 117.13, 258.20, -29.60, -45.60, -42.20, -87.80, 1783.47, 1830.77, -4425.21, -5751.28, 400.01, 402.94, 41.66, 42.77, 296.24, 926.15, 302.82, 19.66, 15739.00, 619.88
 00Z 17 Jul 1991, 41977, 910717/0000, 22.35, 91.80, 34.0, 0.32, -0.34, -0.56, 313.20, 37.00, 19.90, 19.90, 39.80, 99.73, 184.97, -15.08, -12.75, 271.39, 286.00, 872.82, 877.01, 2.44, 4.53, 295.61, 937.89, 301.11, 18.66, 5816.00, 70.48
 00Z 24 Jul 1991, 41977, 910724/0000, 22.35, 91.80, 34.0, -3.52, -3.87, -4.22, 266.98, 43.10, 23.10, 23.10, 46.20, 1245.15, 1321.78, -18.90, -16.63, 159.68, 159.07, 863.00, 866.06, 2124.43, 2255.17, 296.70, 936.80, 302.30, 19.99, 15869.00, 80.60
 00Z 27 Jul 1991, 41977, 910727/0000, 22.35, 91.80, 34.0, 2.66, 315.79, 17.40, 18.00, 35.40, 0.00, 0.00
 00Z 31 Jul 1991, 41977, 910731/0000, 22.35, 91.80, 34.0, -1.46, -2.60, -2.83, 332.00, 40.00, 21.50, 21.50, 43.00, 535.70, 628.23, -6.47, -4.79, 895.72, 903.32, 4.72, 5.53, 296.72, 949.45, 301.17, 19.74, 5836.00
 00Z 04 Jul 1992, 41977, 920704/0000, 22.35, 91.80, 34.0, 7.64, -0.97, -1.12, 125.39, 27.30, 12.30, 22.30, 34.60, 188.58, 276.91, -15.90, -0.44, 817.94, 942.30, 19.24, 28.25, 294.63, 965.59, 297.60, 17.09, 5923.00, 52.97
