Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Mar 1987, 41977, 870302/0000, 22.35, 91.80, 34.0, -9.50, -0.47, -0.58, 505.99, 41.50, 26.50, 40.50, 67.00, 21.19, 37.55, -797.00, -770.43, 420.38, 429.82, 555.11, 544.50, 4.06, 7.20, 281.95, 844.14, 295.95, 8.50, 5548.00, 28.92
 00Z 03 Mar 1987, 41977, 870303/0000, 22.35, 91.80, 34.0, -1.74, -5.30, -5.64, 228.35, 32.13, 24.85, 28.88, 53.73, 1267.64, 1372.77, -30.78, -21.28, 273.54, 273.50, 846.54, 850.76, 82.39, 89.22, 289.02, 935.91, 294.57, 12.29, 5528.00, 33.48
 00Z 04 Mar 1987, 41977, 870304/0000, 22.35, 91.80, 34.0, -1.87, -2.04, -2.27, 220.18, 31.10, 24.10, 28.50, 52.60, 430.16, 511.42, -144.05, -129.94, 323.59, 327.95, 769.91, 779.07, 16.39, 19.49, 287.57, 916.82, 294.82, 11.39, 5555.00, 31.84
 00Z 09 Mar 1987, 41977, 870309/0000, 22.35, 91.80, 34.0, -3.34, -4.32, -4.91, 279.71, 39.50, 24.70, 29.70, 54.40, 3906.02, 4110.54, -66.04, -52.97, 273.47, 273.57, 839.94, 841.33, 187.39, 197.20, 290.99, 957.51, 294.65, 13.69, 5617.00, 25.75
 00Z 10 Mar 1987, 41977, 870310/0000, 22.35, 91.80, 34.0, -5.63, -8.89, -9.24, 378.00, 37.30, 29.10, 29.30, 58.40, 2297.48, 2407.43, -0.27, -0.31, 248.31, 248.28, 919.78, 919.78, 302.61, 317.09, 292.67, 979.61, 294.42, 14.82, 5533.00, 42.37
 00Z 12 Mar 1987, 41977, 870312/0000, 22.35, 91.80, 34.0, -3.25, -0.05, -0.20, 279.81, 34.30, 24.90, 28.90, 53.80, 2.81, 15.19, -281.05, -258.54, 496.84, 488.93, 580.52, 548.74, 0.07, 0.36, 287.29, 924.47, 293.84, 11.09, 5583.00, 35.97
 00Z 15 Mar 1987, 41977, 870315/0000, 22.35, 91.80, 34.0, -3.94, -3.94, -4.52, 298.19, 37.80, 25.50, 29.50, 55.00, 684.77, 823.01, -103.15, -91.87, 342.75, 346.40, 782.01, 788.41, 149.29, 179.43, 290.21, 943.54, 295.10, 13.15, 5590.00, 31.05
 00Z 23 Mar 1987, 41977, 870323/0000, 22.35, 91.80, 34.0, -5.39, -6.17, -5.00, 2026.82, 2344.93, -19.82, -16.80, 418.37, 419.64, 915.94, 916.60, 20.81, 24.07, 292.73, 947.81, 297.27, 15.40, 5650.00, 13.33
 00Z 24 Mar 1987, 41977, 870324/0000, 22.35, 91.80, 34.0, 1.29, -2.27, -2.53, 136.28, 29.10, 17.70, 28.70, 46.40, 419.49, 529.01, -180.43, -139.74, 400.48, 404.24, 765.12, 781.36, 11.15, 14.06, 291.08, 920.26, 298.09, 14.29, 5677.00, 35.18
 00Z 26 Mar 1987, 41977, 870326/0000, 22.35, 91.80, 34.0, -25.94, -31.53, 24.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 319.12, 1230.99, 300.72, 90.01, 5740.00, 6.43
 00Z 27 Mar 1987, 41977, 870327/0000, 22.35, 91.80, 34.0, 2.87, -0.49, -1.34, 186.63, 29.70, 17.10, 24.10, 41.20, 1134.25, 1345.09, -127.14, -90.43, 215.36, 215.29, 759.58, 784.19, 188.31, 223.31, 293.16, 941.27, 298.31, 15.99, 5706.00, 33.68
 00Z 28 Mar 1987, 41977, 870328/0000, 22.35, 91.80, 34.0, -3.80, -9.09, -9.72, 286.18, 33.70, 22.10, 33.10, 55.20, 523.25, 629.03, -171.44, -111.13, 740.20, 771.93, 295.06, 947.95, 299.63, 17.91, 5659.00, 42.63
 00Z 30 Mar 1987, 41977, 870330/0000, 22.35, 91.80, 34.0, -7.89, -8.42, 442.50, 510.99, -105.56, -75.38, 822.65, 830.63, 294.64, 957.18, 298.37, 17.23, 30.18
 00Z 31 Mar 1987, 41977, 870331/0000, 22.35, 91.80, 34.0, 1.58, 4.73, 4.24, 172.99, 25.10, 18.10, 26.10, 44.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.58, 955.95, 293.37, 14.86, 5698.00, 30.92
 00Z 24 Mar 1990, 41977, 900324/0000, 22.35, 91.80, 34.0, 19.13, 298.36, 4880.46, 0.00
 00Z 31 Mar 1990, 41977, 900331/0000, 22.35, 91.80, 34.0, -1.42, -7.22, -7.83, 220.99, 33.30, 21.30, 30.30, 51.60, 1511.65, 1703.08, 0.00, 0.00, 230.69, 230.52, 963.28, 964.34, 25.13, 28.32, 293.99, 964.34, 297.08, 16.58, 5676.00, 38.89
 00Z 02 Mar 1991, 41977, 910302/0000, 22.35, 91.80, 34.0, -0.37, -4.48, -5.02, 195.99, 36.50, 23.10, 25.50, 48.60, 1524.33, 1654.39, 0.00, 0.00, 262.27, 262.36, 980.22, 980.22, 27.11, 29.42, 293.05, 980.22, 294.74, 15.20, 5631.00, 43.29
 00Z 09 Mar 1991, 41977, 910309/0000, 22.35, 91.80, 34.0, 3.68, 10.40, 10.15, 148.20, 30.80, 18.90, 22.70, 41.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.40, 901.79, 290.92, 9.94, 4966.00, 28.05
 00Z 23 Mar 1991, 41977, 910323/0000, 22.35, 91.80, 34.0, -7.60, -8.84, 26.90, 3679.97, 4214.28, 0.00, 0.00, 157.85, 157.61, 982.32, 982.32, 74.35, 85.14, 297.62, 982.32, 299.17, 19.66, 5701.00, 0.80
 00Z 30 Mar 1991, 41977, 910330/0000, 22.35, 91.80, 34.0, 9.31, -3.31, -4.24, 32.98, 8.60, 6.00, 27.00, 33.00, 1393.10, 1656.75, -117.45, -40.97, 772.85, 822.31, ********, ********, 293.19, 926.65, 299.66, 16.52, 5727.00, 24.36
 00Z 01 Mar 1992, 41977, 920301/0000, 22.35, 91.80, 34.0, 22.30, 293.69, 5677.00, 0.00
 00Z 02 Mar 1992, 41977, 920302/0000, 22.35, 91.80, 34.0, 11.75, 4.75, 4.35, 144.58, 15.10, 12.30, 18.30, 30.60, 83.27, 139.46, 0.00, 0.00, 676.99, 672.22, 964.78, 967.39, 0.40, 0.68, 288.60, 967.39, 291.36, 11.62, 5589.00, 22.04
 00Z 03 Mar 1992, 41977, 920303/0000, 22.35, 91.80, 34.0, 20.75, 10.98, 10.52, 65.99, -2.50, 14.50, 12.00, 0.00, 25.85, 0.00, -2.33, 19.38, 288.84, 947.45, 293.35, 12.17, 5716.00, 13.26
 00Z 05 Mar 1992, 41977, 920305/0000, 22.35, 91.80, 34.0, 17.04, 11.06, 10.84, 179.00, -5.30, 1.30, 18.30, 19.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.83, 895.59, 292.94, 9.28, 5677.00, 18.04
 00Z 06 Mar 1992, 41977, 920306/0000, 22.35, 91.80, 34.0, 21.70, 294.29, 5672.00, 0.00
 00Z 07 Mar 1992, 41977, 920307/0000, 22.35, 91.80, 34.0, 2.53, 1.85, 21.70, 309.49, 517.87, -20.95, -52.40, 360.00, 367.76, 805.04, 418.13, 3.19, 5.35, 292.87, 978.91, 294.67, 15.02, 5686.00, 17.08
 00Z 09 Mar 1992, 41977, 920309/0000, 22.35, 91.80, 34.0, 10.64, 1.07, 0.59, 43.79, 10.50, 10.10, 22.10, 32.20, 0.54, 33.12, -8.91, -0.78, 839.82, 777.45, 867.33, 937.10, 0.01, 0.40, 290.37, 959.76, 293.81, 13.14, 5642.00, 25.65
 00Z 10 Mar 1992, 41977, 920310/0000, 22.35, 91.80, 34.0, 9.91, -0.96, -1.60, 54.00, 7.40, 25.40, 32.80, 63.54, 207.92, -135.01, -228.71, 438.30, 645.34, 251.37, 1.00, 3.29, 290.92, 941.21, 296.02, 14.00, 5704.00, 16.78
 00Z 11 Mar 1992, 41977, 920311/0000, 22.35, 91.80, 34.0, 15.07, 0.14, -0.61, 170.01, -6.70, 25.30, 18.60, 410.06, 621.84, -170.68, -58.17, 239.31, 239.21, 736.68, 764.93, 1.09, 1.65, 291.59, 930.16, 297.71, 15.14, 5717.00, 17.43
 00Z 12 Mar 1992, 41977, 920312/0000, 22.35, 91.80, 34.0, 15.36, 1.51, 0.87, 303.71, -5.10, -3.50, 23.50, 20.00, 357.20, 512.39, -110.51, -31.19, 243.82, 243.81, 766.56, 819.31, 32.70, 46.91, 291.01, 943.08, 295.95, 14.24, 5707.00, 19.45
 00Z 13 Mar 1992, 41977, 920313/0000, 22.35, 91.80, 34.0, 5.40, 5.40, 5.13, 92.38, 16.50, 25.50, 42.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.84, 964.32, 288.88, 11.49, 5598.00, 15.90
 00Z 14 Mar 1992, 41977, 920314/0000, 22.35, 91.80, 34.0, -5.23, -5.99, 28.30, 1058.75, 1389.97, -24.60, 0.00, 788.70, 999.10, 36.37, 47.75, 294.31, 999.10, 294.41, 15.77, 5679.00, 1.61
 00Z 16 Mar 1992, 41977, 920316/0000, 22.35, 91.80, 34.0, -7.84, -8.82, 30.30, 3160.42, 3535.27, -59.73, 0.00, 181.92, 181.46, 798.97, 978.86, 32.10, 35.90, 295.53, 978.86, 297.38, 17.30, 5769.00, 0.88
 00Z 17 Mar 1992, 41977, 920317/0000, 22.35, 91.80, 34.0, -37.68, -53.42, -53.98, 1760.98, 60.79, 48.69, 76.69, 125.39, 6317.08, 6476.48, -28.04, -1.69, 849.66, 898.27, 289.51, 931.01, 295.50, 13.30, 3635.45, 16.24
