Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 May 1986, 41977, 860502/0000, 22.35, 91.80, 34.0, 3.55, 0.90, 0.17, 282.40, 26.80, 17.80, 22.10, 39.90, 0.00, 0.00, 0.00, 0.00, 292.64, 959.55, 296.13, 15.10, 5689.00, 48.68
 00Z 05 May 1986, 41977, 860505/0000, 22.35, 91.80, 34.0, -19.97, -22.07, -22.84, 1016.01, 47.90, 40.90, 44.90, 85.80, 1560.10, 1717.40, -82.78, -68.01, 359.84, 359.38, 765.63, 806.37, 6.58, 7.25, 292.31, 932.42, 298.23, 15.24, 5715.00, 40.17
 00Z 06 May 1986, 41977, 860506/0000, 22.35, 91.80, 34.0, -10.74, -13.31, -14.13, 716.39, 41.20, 31.20, 35.70, 66.90, 1616.15, 1797.09, -81.51, -58.50, 276.41, 276.59, 766.96, 806.88, 19.04, 21.17, 292.44, 912.68, 300.20, 15.71, 5707.00, 42.39
 00Z 09 May 1986, 41977, 860509/0000, 22.35, 91.80, 34.0, -4.10, -4.11, -4.90, 267.99, 38.10, 24.10, 29.10, 53.20, 276.74, 394.67, -181.52, -154.04, 395.18, 395.83, 676.23, 712.53, 41.35, 58.97, 292.09, 929.32, 298.30, 15.12, 5700.00, 41.77
 00Z 12 May 1986, 41977, 860512/0000, 22.35, 91.80, 34.0, 11.96, 14.28, 14.04, 90.00, 11.50, 5.10, 23.10, 28.20, 0.00, 0.00, 0.00, 0.00, 280.68, 870.02, 292.09, 7.72, 5743.00, 23.97
 00Z 13 May 1986, 41977, 860513/0000, 22.35, 91.80, 34.0, 1.53, -3.33, -4.03, 240.60, 30.10, 18.90, 22.30, 41.20, 1002.27, 1254.78, -10.97, -5.75, 891.04, 908.70, 68.31, 85.52, 296.48, 958.30, 300.13, 19.29, 5707.00, 49.73
 00Z 14 May 1986, 41977, 860514/0000, 22.35, 91.80, 34.0, 0.26, 1.61, 1.48, 394.18, 30.90, 17.50, 25.50, 43.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 291.95, 873.03, 303.53, 15.95, 5813.00, 58.82
 00Z 15 May 1986, 41977, 860515/0000, 22.35, 91.80, 34.0, -5.49, -5.61, -6.13, 335.81, 34.80, 25.40, 26.90, 52.30, 1442.07, 1665.26, -50.54, -46.20, 195.35, 195.00, 806.73, 819.14, 44.89, 51.83, 294.95, 936.31, 300.58, 17.93, 5739.00, 51.52
 00Z 16 May 1986, 41977, 860516/0000, 22.35, 91.80, 34.0, 5.53, 2.08, 1.66, 196.99, 24.80, 15.80, 20.30, 36.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 292.72, 951.76, 296.90, 15.32, 5708.00, 44.88
 00Z 17 May 1986, 41977, 860517/0000, 22.35, 91.80, 34.0, -1.76, -1.17, -1.82, 273.16, 37.30, 20.10, 25.10, 45.20, 41.71, 95.83, -296.81, -250.66, 460.70, 449.59, 585.89, 614.23, 1.27, 2.93, 296.79, 966.15, 299.75, 19.54, 5797.00, 64.40
 00Z 23 May 1986, 41977, 860523/0000, 22.35, 91.80, 34.0, 1.57, -5.91, -7.16, 176.02, 31.10, 17.10, 27.10, 44.20, 675.24, 911.47, -49.53, -13.70, 816.19, 847.07, 296.38, 945.34, 301.20, 19.46, 5788.00, 36.30
 00Z 27 May 1986, 41977, 860527/0000, 22.35, 91.80, 34.0, -6.03, 41.21, 41.70, 447.40, 37.30, 24.10, 33.10, 57.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 260.83, 928.60, 266.31, 5.90, 5700.00, 36.46
 00Z 29 May 1986, 41977, 860529/0000, 22.35, 91.80, 34.0, 1.98, -2.59, -3.09, 192.18, 29.30, 17.70, 23.70, 41.40, 232.72, 346.18, -45.93, -17.87, 790.63, 842.06, 295.37, 940.92, 300.58, 18.36, 5721.00, 48.74
 00Z 31 May 1986, 41977, 860531/0000, 22.35, 91.80, 34.0, -5.33, -6.10, 59.61, 71.29, 0.00, 0.00, 978.31, 978.31, 298.47, 978.31, 300.36, 21.36, 29.50
 00Z 08 May 1987, 41977, 870508/0000, 22.35, 91.80, 34.0, -2.47, -1.67, -1.96, 266.01, 36.90, 21.90, 28.90, 50.80, 142.22, 191.01, -286.97, -257.35, 381.99, 382.13, 649.23, 668.82, 3.21, 4.31, 291.21, 926.73, 297.64, 14.29, 5666.00, 46.44
