Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Aug 1992, 41977, 920801/0000, 22.35, 91.80, 34.0, -1.09, -2.38, -2.67, 230.41, 37.80, 22.00, 22.50, 44.50, 467.96, 549.58, -1.88, -1.01, 240.71, 240.57, 911.08, 922.91, 14.75, 17.33, 295.33, 964.29, 298.43, 17.82, 5735.00, 61.76
 00Z 05 Aug 1992, 41977, 920805/0000, 22.35, 91.80, 34.0, 3.30, -1.43, -1.59, 217.00, 33.50, 18.30, 19.10, 37.40, 1034.58, 1146.22, 0.00, 0.00, 960.01, 965.84, 32.27, 35.76, 296.18, 969.56, 298.82, 18.70, 5734.00, 62.21
 00Z 08 Aug 1992, 41977, 920808/0000, 22.35, 91.80, 34.0, 1.71, -0.38, -0.49, 206.58, 34.50, 19.30, 21.50, 40.80, 262.25, 322.80, -13.19, -5.95, 322.32, 323.73, 798.88, 883.38, 5.99, 7.37, 294.59, 964.47, 297.66, 17.01, 5747.00, 59.72
 00Z 12 Aug 1992, 41977, 920812/0000, 22.35, 91.80, 34.0, 0.60, -1.52, -1.91, 234.18, 35.40, 18.70, 22.90, 41.60, 1394.53, 1552.51, -54.07, -35.86, 795.65, 816.44, 4151.43, 4621.74, 296.54, 956.52, 300.34, 19.38, 5753.00, 61.25
 00Z 15 Aug 1992, 41977, 920815/0000, 22.35, 91.80, 34.0, 0.42, -2.77, -3.28, 221.21, 33.30, 20.40, 21.70, 42.10, 1307.47, 1464.39, -4.17, -2.17, 912.07, 922.16, 822.48, 921.19, 295.76, 951.80, 299.99, 18.57, 5756.00, 59.35
 00Z 19 Aug 1992, 41977, 920819/0000, 22.35, 91.80, 34.0, 2.19, -1.92, -2.51, 204.80, 33.70, 19.10, 19.10, 38.20, 1046.92, 1204.75, -0.80, -0.27, 928.54, 934.36, 668.47, 769.25, 296.27, 952.67, 300.42, 19.14, 5649.00, 62.23
 00Z 22 Aug 1992, 41977, 920822/0000, 22.35, 91.80, 34.0, 2.40, -1.90, -2.43, 201.19, 29.80, 19.40, 20.70, 40.10, 677.79, 827.80, 0.00, 0.00, 213.26, 213.41, 953.94, 959.16, 528.20, 645.10, 295.14, 967.17, 297.98, 17.56, 5725.00, 52.01
 00Z 26 Aug 1992, 41977, 920826/0000, 22.35, 91.80, 34.0, -1.16, -1.54, -1.85, 231.00, 38.30, 21.60, 22.30, 43.90, 198.96, 255.87, -16.34, -12.99, 384.51, 384.48, 812.22, 825.98, 38.08, 48.97, 295.39, 959.60, 298.92, 17.97, 5768.00, 65.91
 00Z 29 Aug 1992, 41977, 920829/0000, 22.35, 91.80, 34.0, -2.06, -5.06, -5.88, 241.00, 36.60, 21.80, 24.10, 45.90, 2130.65, 2362.63, -3.43, -1.04, 899.74, 926.88, 2917.04, 3234.64, 297.65, 963.51, 300.84, 20.60, 5775.00, 62.03
 00Z 01 Aug 1993, 41977, 930801/0000, 22.35, 91.80, 34.0, 1.57, 0.03, -0.44, 236.60, 31.30, 17.90, 21.50, 39.40, 33.00, 109.78, -127.20, -72.44, 288.45, 286.89, 566.16, 716.96, 3.60, 11.99, 295.64, 941.66, 300.80, 18.60, 5807.00, 61.52
