Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 06 Jun 1992, 41977, 920606/0000, 22.35, 91.80, 34.0, 2.38, -3.05, -3.92, 176.59, 26.30, 17.90, 22.50, 40.40, 1126.33, 1381.07, -15.67, -6.95, 199.63, 199.61, 878.02, 906.11, 206.41, 253.10, 295.60, 939.15, 300.96, 18.64, 5752.00, 47.25
 00Z 11 Jun 1992, 41977, 920611/0000, 22.35, 91.80, 34.0, 2.48, -0.69, -1.12, 194.79, -4.40, 18.40, 21.70, 40.10, 213.90, 452.33, -32.37, -20.91, 308.26, 305.05, 823.63, 865.02, 89.69, 189.66, 293.05, 918.59, 300.27, 16.24, 5742.00, 38.87
 00Z 13 Jun 1992, 41977, 920613/0000, 22.35, 91.80, 34.0, 2.16, -3.13, -3.82, 198.99, 31.10, 19.00, 22.10, 41.10, 883.27, 1066.94, -11.72, -6.61, 288.83, 288.66, 896.85, 911.34, 32.92, 39.76, 294.66, 936.69, 300.24, 17.61, 5732.00, 49.71
 00Z 17 Jun 1992, 41977, 920617/0000, 22.35, 91.80, 34.0, 0.89, -1.12, -1.73, 269.00, 36.80, 19.20, 21.70, 40.90, 254.68, 360.26, -26.39, -16.23, 827.62, 849.45, 248.96, 352.18, 295.72, 951.49, 299.97, 18.51, 5751.00, 62.19
 00Z 24 Jun 1992, 41977, 920624/0000, 22.35, 91.80, 34.0, -0.41, -0.96, 147.68, 173.28, -0.02, 0.00, 941.48, 946.14, 295.50, 957.81, 299.18, 18.15, 42.38
 00Z 27 Jun 1992, 41977, 920627/0000, 22.35, 91.80, 34.0, 5.90, 4.00, 4.22, 247.01, 31.20, 15.40, 15.80, 31.20, 28.39, 37.74, -1.95, -1.02, 758.53, 754.51, 922.08, 931.84, 0.35, 0.46, 295.00, 963.16, 298.19, 17.47, 5784.00, 72.13
 00Z 01 Jun 1993, 41977, 930601/0000, 22.35, 91.80, 34.0, 0.31, 0.44, 0.48, 261.02, 37.60, 19.50, 23.10, 42.60, 104.30, 128.15, -95.55, -84.63, 524.71, 531.36, 759.94, 767.84, 2.11, 2.60, 294.74, 965.45, 297.75, 17.15, 5730.00, 65.36
 00Z 02 Jun 1993, 41977, 930602/0000, 22.35, 91.80, 34.0, 0.75, -0.88, -1.09, 238.40, 33.50, 19.70, 21.70, 41.40, 506.47, 640.91, -21.12, -12.77, 258.06, 257.84, 813.50, 851.01, 115.68, 146.38, 295.01, 950.28, 299.36, 17.73, 5786.00, 56.76
 00Z 04 Jun 1993, 41977, 930604/0000, 22.35, 91.80, 34.0, 1.02, -2.61, -3.48, 222.59, 28.26, 19.71, 21.81, 41.51, 1003.83, 1240.72, -6.30, -3.38, 202.03, 202.06, 903.37, 919.11, 21.02, 25.98, 295.67, 950.46, 300.00, 18.47, 5759.15, 48.65
 00Z 05 Jun 1993, 41977, 930605/0000, 22.35, 91.80, 34.0, -1.93, -5.63, -6.22, 216.18, 36.20, 21.80, 26.10, 47.90, 549.89, 680.97, -26.58, -10.88, 817.83, 868.27, 17.15, 21.24, 296.09, 952.86, 300.23, 18.94, 5850.00, 54.21
 00Z 06 Jun 1993, 41977, 930606/0000, 22.35, 91.80, 34.0, 0.00, -4.05, -4.51, 226.00, 32.00, 21.00, 23.50, 44.50, 2213.27, 2384.80, -2.67, -0.88, 158.89, 158.71, 916.15, 932.87, 173.51, 186.95, 295.40, 957.92, 299.06, 18.03, 5718.00, 53.09
 00Z 07 Jun 1993, 41977, 930607/0000, 22.35, 91.80, 34.0, -2.50, -4.17, -4.52, 262.20, 36.20, 23.50, 23.90, 47.40, 845.49, 950.47, 0.00, 0.00, 260.17, 260.79, 968.28, 969.80, 39.83, 44.78, 295.89, 976.42, 297.93, 18.22, 5727.00, 60.38
 00Z 08 Jun 1993, 41977, 930608/0000, 22.35, 91.80, 34.0, 0.77, 57.28, 57.86, 219.60, 32.70, 18.90, 23.90, 42.80, 0.00, 0.00, 0.00, 0.00, 251.39, 935.81, 256.23, 1.11, 5757.00, 32.43
 00Z 10 Jun 1993, 41977, 930610/0000, 22.35, 91.80, 34.0, -2.27, -2.80, 192.67, 273.02, -28.03, -15.91, 823.53, 858.94, 295.11, 939.29, 300.46, 18.06, 49.76
 00Z 12 Jun 1993, 41977, 930612/0000, 22.35, 91.80, 34.0, 1.32, 1.35, 0.29, 252.80, 30.10, 18.50, 20.70, 39.20, 0.00, 25.90, 0.00, -9.61, 0.91, 0.00, 2.79, 294.26, 927.32, 300.70, 17.34, 5778.00, 42.23
 00Z 13 Jun 1993, 41977, 930613/0000, 22.35, 91.80, 34.0, 1.63, -0.06, -0.65, 233.50, 36.60, 19.00, 21.50, 40.50, 144.55, 241.62, -26.51, -16.81, 387.97, 382.50, 814.05, 831.88, 3.31, 5.54, 294.57, 955.72, 298.43, 17.15, 5779.00, 55.30
 00Z 14 Jun 1993, 41977, 930614/0000, 22.35, 91.80, 34.0, 2.62, 0.52, 0.24, 252.03, 32.93, 17.43, 21.63, 39.06, 4.39, 30.22, -84.69, -56.86, 627.84, 584.94, 719.17, 758.64, 0.30, 2.05, 294.11, 935.08, 299.82, 17.03, 5830.56, 58.13
 00Z 15 Jun 1993, 41977, 930615/0000, 22.35, 91.80, 34.0, -1.18, -3.82, -4.36, 248.00, 36.80, 21.00, 24.10, 45.10, 821.80, 974.02, -22.04, -9.24, 143.88, 143.77, 808.48, 864.41, 19.18, 22.74, 296.38, 953.96, 300.42, 19.25, 5836.00, 62.39
 00Z 16 Jun 1993, 41977, 930616/0000, 22.35, 91.80, 34.0, -0.33, -0.58, 0.00, 0.00, 0.00, 0.00, 293.35, 932.08, 299.32, 16.28, 41.46
 00Z 22 Jun 1993, 41977, 930622/0000, 22.35, 91.80, 34.0, -2.56, -2.98, 0.00, 0.00, 0.00, 0.00, 295.89, 962.50, 299.16, 18.48, 60.43
 00Z 23 Jun 1993, 41977, 930623/0000, 22.35, 91.80, 34.0, -1.29, -1.61, 5987.62, 6252.01, -5.94, -2.19, 899.78, 921.31, 294.61, 949.41, 299.03, 17.32, 29.76
 00Z 24 Jun 1993, 41977, 930624/0000, 22.35, 91.80, 34.0, 0.21, -1.90, -2.45, 245.41, 36.10, 19.70, 21.90, 41.60, 787.22, 914.52, -12.82, -5.73, 148.54, 148.50, 828.54, 881.41, 413.66, 480.54, 296.53, 956.76, 300.31, 19.36, 5791.00, 66.36
 00Z 25 Jun 1993, 41977, 930625/0000, 22.35, 91.80, 34.0, 1.68, -0.51, -0.76, 268.60, 34.30, 18.50, 20.50, 39.00, 255.23, 348.60, -13.94, -9.18, 192.60, 191.57, 858.02, 881.92, 77.99, 106.52, 295.95, 950.99, 300.24, 18.78, 5776.00, 67.64
 00Z 26 Jun 1993, 41977, 930626/0000, 22.35, 91.80, 34.0, 0.89, 0.83, 0.57, 256.40, 32.20, 19.20, 21.50, 40.70, 218.41, 218.76, -527.02, -435.99, 137.42, 136.96, 181.79, 182.39, 18.87, 18.90, 293.72, 927.91, 300.09, 16.74, 5772.00, 61.50
 00Z 28 Jun 1993, 41977, 930628/0000, 22.35, 91.80, 34.0, 0.28, -1.95, -2.55, 241.40, 35.70, 19.90, 21.50, 41.40, 567.78, 742.86, -10.87, -6.61, 878.64, 897.38, 20.93, 27.39, 296.25, 951.66, 300.49, 19.14, 5792.00, 60.45
 00Z 30 Jun 1993, 41977, 930630/0000, 22.35, 91.80, 34.0, -1.28, 2.91, 2.54, 262.60, 37.40, 20.50, 22.70, 43.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 293.08, 932.40, 299.03, 15.99, 5812.00, 66.10
 00Z 03 Jun 1994, 41977, 940603/0000, 22.35, 91.80, 34.0, -0.36, -2.83, -3.80, 456.69, 29.90, 20.10, 22.10, 42.20, 1494.88, 1747.20, 0.00, 0.00, 145.43, 143.92, 940.57, 943.48, 13.89, 16.23, 297.79, 971.61, 300.26, 20.63, 5787.00, 57.60
 00Z 04 Jun 1994, 41977, 940604/0000, 22.35, 91.80, 34.0, -3.14, -6.89, -7.53, 260.99, 37.70, 23.50, 25.90, 49.40, 1772.75, 1962.09, 0.00, 0.00, 173.63, 172.84, 930.58, 933.07, 46.46, 51.43, 297.19, 975.42, 299.33, 19.77, 5783.00, 59.94
 00Z 05 Jun 1994, 41977, 940605/0000, 22.35, 91.80, 34.0, -2.96, -4.35, -4.74, 344.16, 38.90, 21.70, 25.70, 47.40, 1366.89, 1493.24, -97.20, -77.04, 161.72, 161.13, 763.91, 788.23, 49.49, 54.07, 296.70, 935.42, 302.44, 20.03, 5846.00, 70.68
 00Z 06 Jun 1994, 41977, 940606/0000, 22.35, 91.80, 34.0, 6.58, -8.29, -8.98, 132.47, 24.78, 17.42, 20.42, 37.85, 2407.21, 2646.95, -24.90, -21.87, 250.10, 225.03, 908.49, 911.52, 84.24, 92.63, 295.67, 949.58, 300.10, 18.50, 5605.37, 48.30
 00Z 07 Jun 1994, 41977, 940607/0000, 22.35, 91.80, 34.0, 0.24, -5.88, -6.55, 222.98, 30.30, 20.30, 22.30, 42.60, 2635.79, 2896.85, -14.77, -12.94, 133.48, 131.39, 900.15, 905.05, 297.99, 958.13, 301.69, 21.16, 5775.00, 61.24
 00Z 09 Jun 1994, 41977, 940609/0000, 22.35, 91.80, 34.0, -2.07, -2.81, -3.06, 240.98, 38.30, 22.60, 23.10, 45.70, 688.14, 778.02, 0.00, 0.00, 280.72, 282.45, 927.64, 928.05, 193.03, 218.25, 296.10, 974.60, 298.31, 18.49, 5723.00, 64.61
 00Z 10 Jun 1994, 41977, 940610/0000, 22.35, 91.80, 34.0, -2.73, -3.93, -4.44, 266.19, 40.30, 22.70, 23.30, 46.00, 1591.86, 1735.01, -0.98, -0.25, 143.82, 142.87, 944.64, 949.47, 296.74, 954.90, 300.70, 19.71, 5840.00, 66.88
 00Z 11 Jun 1994, 41977, 940611/0000, 22.35, 91.80, 34.0, 1.30, -0.35, -0.82, 247.41, 36.00, 18.70, 21.70, 40.40, 67.01, 124.96, -76.31, -53.87, 319.00, 335.92, 657.77, 699.19, 2.90, 5.40, 295.07, 943.91, 300.01, 17.92, 5765.00, 64.66
 00Z 12 Jun 1994, 41977, 940612/0000, 22.35, 91.80, 34.0, 0.63, -2.47, -2.87, 291.81, 36.20, 20.10, 21.30, 41.40, 824.62, 946.80, -12.97, -11.15, 891.48, 897.77, 14.21, 16.32, 296.16, 957.75, 299.87, 18.90, 5737.00, 64.82
 00Z 13 Jun 1994, 41977, 940613/0000, 22.35, 91.80, 34.0, -0.23, -3.42, -3.78, 247.39, 38.60, 20.50, 21.90, 42.40, 1193.63, 1319.01, -0.33, -0.03, 151.39, 151.21, 941.38, 948.52, 187.66, 207.37, 297.12, 960.27, 300.60, 20.03, 5756.00, 70.37
 00Z 14 Jun 1994, 41977, 940614/0000, 22.35, 91.80, 34.0, 0.42, -0.58, -0.96, 288.20, 35.50, 20.10, 20.50, 40.60, 228.36, 327.31, -13.80, -13.96, 238.75, 238.58, 873.91, 877.33, 30.41, 43.58, 295.77, 958.94, 299.36, 18.41, 5770.00, 65.81
 00Z 15 Jun 1994, 41977, 940615/0000, 22.35, 91.80, 34.0, 37.34, -10.40, -11.06, 102.04, -25.24, -5.32, -3.52, -8.84, 4485.16, 4789.67, -16.81, -18.14, 410.31, 410.40, 921.37, 921.16, 224.88, 240.14, 294.51, 953.15, 298.60, 17.11, 5722.41, 30.97
 00Z 18 Jun 1994, 41977, 940618/0000, 22.35, 91.80, 34.0, 2.02, 0.28, 0.20, 278.60, 34.40, 18.70, 19.50, 38.20, 20.21, 47.45, -16.62, -19.10, 392.11, 388.03, 875.29, 877.59, 1.25, 2.93, 296.21, 975.60, 298.34, 18.59, 5770.00, 69.26
 00Z 19 Jun 1994, 41977, 940619/0000, 22.35, 91.80, 34.0, 0.23, -1.52, -1.71, 259.39, 38.30, 20.10, 20.30, 40.40, 719.40, 811.46, -6.86, -6.03, 189.06, 188.47, 896.32, 900.47, 297.18, 971.17, 299.71, 19.85, 5772.00, 73.14
 00Z 23 Jun 1994, 41977, 940623/0000, 22.35, 91.80, 34.0, -1.79, -3.24, -3.64, 264.00, 37.20, 22.30, 22.30, 44.60, 365.79, 447.12, -1.08, -1.14, 919.68, 919.52, 93.69, 114.52, 296.71, 970.00, 299.33, 19.30, 5777.00, 66.03
 00Z 24 Jun 1994, 41977, 940624/0000, 22.35, 91.80, 34.0, -2.20, -3.40, -3.70, 262.19, 40.50, 22.90, 22.90, 45.80, 677.51, 751.82, 0.00, 0.00, 260.54, 260.76, 938.35, 938.53, 71.04, 78.83, 296.39, 975.96, 298.48, 18.81, 5752.00, 69.17
 00Z 27 Jun 1994, 41977, 940627/0000, 22.35, 91.80, 34.0, 0.42, -0.18, -0.29, 277.79, 36.90, 19.90, 19.90, 39.80, 97.77, 142.34, -0.22, -0.15, 324.68, 247.59, 929.75, 930.27, 17.89, 26.05, 296.57, 970.46, 299.14, 19.12, 5807.00, 72.83
 00Z 29 Jun 1994, 41977, 940629/0000, 22.35, 91.80, 34.0, 1.51, -0.84, -1.32, 254.99, 34.40, 18.40, 21.30, 39.70, 685.54, 815.14, -13.26, -5.01, 171.76, 169.54, 800.83, 854.20, 81.86, 97.33, 296.86, 973.98, 299.13, 19.39, 5789.00, 64.64
 00Z 30 Jun 1994, 41977, 940630/0000, 22.35, 91.80, 34.0, 0.13, -3.88, -4.38, 217.99, 36.20, 20.50, 21.30, 41.80, 1725.47, 1894.69, -0.01, 0.00, 145.75, 144.79, 950.30, 953.58, 320.25, 351.66, 297.56, 967.89, 300.37, 20.39, 5747.00, 66.96
 00Z 02 Jun 1996, 41977, 960602/0000, 22.35, 91.80, 34.0, -5.88, 502.68, 38.70, 26.10, 26.10, 52.20, 0.00, 0.00, 5858.00, 5858.00
 00Z 03 Jun 1996, 41977, 960603/0000, 22.35, 91.80, 34.0, -5.97, -3.68, -3.93, 368.61, 44.30, 24.70, 29.10, 53.80, 552.98, 592.08, -272.50, -262.92, 328.36, 331.30, 662.51, 667.77, 5.38, 5.76, 293.85, 929.51, 300.09, 16.85, 5816.00, 65.31
 00Z 04 Jun 1996, 41977, 960604/0000, 22.35, 91.80, 34.0, -3.81, -4.83, -5.22, 262.82, 40.90, 25.10, 25.10, 50.20, 839.16, 931.30, 0.00, 0.00, 974.71, 974.71, 88.08, 97.75, 295.13, 974.71, 297.32, 17.40, 5693.00, 58.76
 00Z 06 Jun 1996, 41977, 960606/0000, 22.35, 91.80, 34.0, -8.35, -9.01, -9.83, 413.01, 47.70, 27.50, 27.50, 55.00, 3049.30, 3239.53, 0.00, 0.00, 129.75, 128.95, 967.43, 964.23, 451.19, 479.34, 299.23, 976.37, 301.31, 22.40, 5716.00, 78.68
 00Z 08 Jun 1996, 41977, 960608/0000, 22.35, 91.80, 34.0, 4.02, 214.26, 31.33, 18.23, 19.20, 37.43, 0.00, 0.00, 5830.00, 5830.00
