Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 22 Jun 1987,5,500.0,5900,0.0,-10.0,47,3.60,145,23,333.0,345.6,333.7
00Z 22 Jun 1987,6,400.0,7420,-10.3,-16.3,61,2.69,175,20,341.5,351.4,342.1
00Z 22 Jun 1987,7,300.0,9560,-22.5,-30.5,48,1.01,110,8,353.6,357.6,353.8
00Z 22 Jun 1987,8,250.0,10840,-32.1,-40.1,45,0.47,125,13,358.2,360.2,358.3
00Z 22 Jun 1987,9,200.0,12380,-42.9,NA,NA,NA,125,19,364.7,NA,364.7
00Z 22 Jun 1987,10,150.0,14548,-56.9,NA,NA,NA,85,25,371.8,NA,371.8
00Z 22 Jun 1987,11,100.0,16720,-73.9,NA,NA,NA,NA,NA,384.7,NA,384.7
00Z 27 Jun 1987,0,1003.0,34,27.0,23.7,82,18.80,180,4,299.9,355.2,303.3
00Z 27 Jun 1987,1,1000.0,64,26.6,22.5,78,17.50,195,8,299.8,351.1,302.9
00Z 27 Jun 1987,2,920.0,797,-22.5,-31.5,44,0.30,198,13,256.7,257.6,256.7
00Z 27 Jun 1987,3,850.0,1483,20.2,10.2,53,9.27,200,17,307.3,335.7,309.0
00Z 27 Jun 1987,4,700.0,3136,12.2,NA,NA,NA,290,15,316.0,NA,316.0
00Z 27 Jun 1987,5,500.0,5870,-1.5,NA,NA,NA,345,13,331.1,NA,331.1
00Z 27 Jun 1987,6,400.0,7610,-12.7,NA,NA,NA,65,37,338.4,NA,338.4
00Z 27 Jun 1987,7,300.0,9750,-27.1,NA,NA,NA,70,30,347.1,NA,347.1
00Z 27 Jun 1987,8,250.0,10940,-35.5,NA,NA,NA,135,22,353.1,NA,353.1
00Z 27 Jun 1987,9,200.0,12450,-49.5,NA,NA,NA,135,28,354.2,NA,354.2
00Z 27 Jun 1987,10,150.0,14370,-65.1,NA,NA,NA,100,37,357.7,NA,357.7
00Z 27 Jun 1987,11,100.0,16670,-79.5,NA,NA,NA,105,42,373.9,NA,373.9
00Z 27 Jun 1987,12,70.0,18440,-74.1,NA,NA,NA,95,86,425.5,NA,425.5
00Z 27 Jun 1987,13,50.0,20680,-68.1,NA,NA,NA,100,43,482.6,NA,482.6
00Z 27 Jun 1987,14,37.0,21773,-74.1,NA,NA,NA,295,86,510.6,NA,510.6
00Z 27 Jun 1987,15,30.0,22560,-54.3,NA,NA,NA,120,42,596.0,NA,596.0
00Z 29 Jun 1987,0,1002.0,34,27.0,23.7,82,18.82,180,4,300.0,355.3,303.4
00Z 29 Jun 1987,1,1001.9,35,27.0,23.7,82,18.86,180,4,300.0,355.4,303.4
00Z 29 Jun 1987,2,1000.0,60,27.0,24.5,86,19.82,180,8,300.1,358.5,303.7
00Z 29 Jun 1987,3,939.1,609,24.4,20.5,79,16.47,215,19,302.9,351.9,305.9
00Z 29 Jun 1987,4,906.9,914,22.9,18.3,75,14.82,225,21,304.4,348.9,307.1
00Z 29 Jun 1987,5,850.0,1480,20.2,14.2,68,12.12,225,23,307.3,344.1,309.5
